SMILES,Label
ClC1=CC(CN2CCN(CC2)C3=NC=CC=C3)=C(O)C4=NC=CC=C14,0
OC1=CC=C(C[C@H]2N(C)CC[C@]34[C@H]2CCCC4)C3=C1,0
NOCCCC(C(NC(CC1=CC=CC=C1)C(N)=O)=O)NC(CCN2C(C(CC3=CC=CC=C3C2)NC(C(CCCNC(N)=N)NC(C(CC4=C(C)C=C(O)C=C4C)N)=O)=O)=O)=O,0
O=C(O)C1=CSC([C@@H]2O[C@@H]3[C@H](CC2)[C@H](COC4=CC=CC(F)=C4)[C@@H](C3)O)=N1,0
CCCN([C@@H]1CC(C=CC=C2O)=C2CC1)CCCCOC(C=C3)=CN4C3=C(C([H])=NO)C=N4,1
CCCC(C1=CNC2=CC=CC=C21)C3=CNC4=C3C=CC=C4,1
O=C(C1=CC=CC2=CC=CC=C12)C3=C(C)N4C5=C3C=CC=C5OC[C@H]4CN6CCOCC6,0
C1(CCCN2N=NC(CC3CCCCC3)=C2)=CNC=N1,0
BrC1=CC=CC=C1CN2CCN(CC2)C3=NC=CC=C3,0
ClC1=C(C=CC=C1N2CCN(CCCCOC3=CC=C4N=CSC4=C3)CC2)Cl,1
OC1=CC(C)=C(CC(C(NC2C(NC(CC3=CC=CC=C3)C(NC(CC(NCCCC2)=O)C(N)=O)=O)=O)=O)N)C(C)=C1,1
OC1=CC(O)=CC([C@@H](CN[C@@H](C)CC2=CC=C(C=C2)O)O)=C1,0
O=C(C12CC3CC(CC(C3)C2)C1)C4=CN(CC5N(C)CCCC5)C6=CC=CC=C64,1
ClC1=CC(CN=C(N)SCCCC2=CNC=N2)=CC=C1,0
CCCC(C)(C)C1=CC=C2C(OC(C)(C)[C@H]3[C@H]2CC(C)=CC3)=C1,0
OC1=CC=C(C[C@@H](C(N[C@@H](CCCNC(N)=N)C(N[C@@H](CC2=CNC=N2)C(N3[C@@H](CCC3)C(N)=O)=O)=O)=O)NC([C@H](C(C)C)NC([C@H](CCCNC(N)=N)NC(CNC)=O)=O)=O)C=C1,1
O=C(O)C1=CSC([C@@H]2O[C@@H]3[C@H](CC2)[C@H](COC4=CC(C)=CC=C4)[C@@H](C3)O)=N1,0
O=C1N([C@H]2[C@H](CO)CN(CC3CCCC4C3CCCC4)CC2)C5=C(N1CC)C=CC=C5,0
ClC1=C(C=CC=C1N2CCN(CCCCOC3=CN4N=CC(C=O)=C4C=C3)CC2)Cl,0
O=C(O)C1=CSC([C@@H]2O[C@@H]3[C@H](CC2)[C@H](COC4=CC=CC=C4F)[C@@H](C3)O)=N1,0
CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,1
CC1=CC=C(CC(C[C@@]2(CC3(CCCC3)OCC2)C4=NC=CC=C4)N)S1,0
C1([C@@]2(CCNCC3=CC=NC=C3)CC4(CCCC4)OCC2)=NC=CC=C1,0
O=C1N(C2CCN(CC2)C3C4=C5C(CCCC5CC3)=CC=C4)C6=CC=CC=C6C1,0
O=CC1=C(C=C2)N(N=C1)C=C2OCCCCN3CCN(CC3)C4=CC=CC=C4OC,0
OC1=CC(OC[C@H](CNCCC2=CC=C(OCCCC3=CC=CC=C3)C(OC)=C2)O)=CC=C1O,0
C12=NC=CC=C1C(CC3=CNC4=C3C=CC=N4)=CN2,1
