Canonical_Smiles,Label
NC(=O)CNC(=O)c1cccc(-c2ccc(F)c3cc(Cc4cccc(C(F)(F)F)c4)sc23)c1,1
Cc1c(Cc2cccc(C(F)(F)F)c2)oc2c(-c3cccc(C(=O)NCCO)c3)cccc12,1
O=C(NCCO)c1cccc(-c2cccc3cn(Cc4cccc(C(F)(F)F)c4)nc23)c1,1
NC(=O)CNC(=O)c1cccc(-c2cccc3cc(Cc4cccc(C(F)(F)F)c4)sc23)c1,1
COCCNC(=O)c1cccc(-c2cccc3cc(Cc4cccc(C(F)(F)F)c4)sc23)c1,1
O=C(NCCO)c1cccc(-c2cccc3nn(Cc4cccc(C(F)(F)F)c4)cc23)c1,1
O=C(NCCO)c1cccc(-c2cccc3sc(Cc4cccc(C(F)(F)F)c4)cc23)c1,1
O=C(NCCO)c1cccc(-c2cccc3cc(Cc4cccc(C(F)(F)F)c4)sc23)c1,1
O=C(NCCO)c1cccc(-c2cccc3cc(Cc4cccc(C(F)(F)F)c4)oc23)c1,1
COCCNC(=O)c1cccc(-c2cccc3cc(Cc4cc(F)cc(Cl)c4)sc23)c1,1
O=C(NCCO)c1cccc(-c2cccc3oc(Cc4cccc(C(F)(F)F)c4)cc23)c1,1
O=C(NCCO)c1cccc(-c2cccc3oc(Cc4cccc(C(F)(F)F)c4)cc23)c1,1
Cc1nn(-c2cccc3cc(Cc4cccc(C(F)(F)F)c4)sc23)c(CO)c1C(=O)NCCO,1
O=C(NCCO)c1cccc(-c2cccc3oc(Cc4cccc(C(F)(F)F)c4)cc23)c1,1
Cc1nn(-c2cccc3cc(Cc4cccc(C(F)(F)F)c4)sc23)c(CO)c1C(=O)NCCO,1
CN(C)S(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccc(-c3ccccc3)cc2)cc1,1
O=C(NC(=S)Nc1ccc(S(=O)(=O)NCCc2ccccc2)cc1)c1ccc(-c2ccccc2)cc1,1
COc1ccc2c(c1)OC(C)(C)c1cn(CNC(=O)CN3CCN(c4ccccc4)CC3)nc1-2,1
CC(C)CNS(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccc(-c3ccccc3)cc2)cc1,1
COc1ccc2c(c1)OC(C)(C)c1cn(CNC(=O)CN3CCN(c4cccc(C)c4C)CC3)nc1-2,1
COc1ccc2c(c1)OC(C)(C)c1cnn(CCN3CCN(C(=O)c4cccs4)CC3)c1-2,1
COc1ccc2c(c1)OC(C)(C)c1cn(CNC(=O)CN3CCN(c4ccccc4OC)CC3)nc1-2,1
COc1ccc(N2CCN(CC(=O)NCn3ncc4c3-c3ccc(OC)cc3OC4(C)C)CC2)cc1,1
COc1ccc2c(c1)OC(C)(C)c1cnn(CNC(=O)CN3CCN(c4ccccc4)CC3)c1-2,1
COc1ccc2c(c1)OC(C)(C)c1cn(CCN3CCN(C(=O)C4CCCCC4)CC3)nc1-2,1
COc1ccc2c(c1)OC(C)(C)c1cn(CCN3CCN(C(=O)C4CCCO4)CC3)nc1-2,1
COc1ccc2c(c1)OC(C)(C)c1cn(CCN3CCN(C(=O)C(C)(C)C)CC3)nc1-2,1
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](O)COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,1
COc1ccc2c(c1)OC(C)(C)c1cn(CCN3CCN(C(=O)c4ccco4)CC3)nc1-2,1
C=CCNS(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccc(-c3ccccc3)cc2)cc1,1
COc1ccc2c(c1)OC(C)(C)c1cnn(CCN3CCN(C(=O)c4ccco4)CC3)c1-2,1
COc1ccc2c(c1)OC(C)(C)c1cn(CCN3CCN(C(=O)COc4ccccc4)CC3)nc1-2,1
COc1ccc2c(c1)OC(C)(C)c1cn(CCN3CCN(C(=O)c4ccccc4)CC3)nc1-2,1
Cc1ccc(CNS(=O)(=O)c2ccc(NC(=S)NC(=O)c3ccc(-c4ccccc4)cc3)cc2)cc1,1
COc1ccc2c(c1)OC(C)(C)c1cn(CCN3CCN(C(=O)C4CCCCC4)CC3)nc1-2,1
COc1ccc2c(c1)OC(C)(C)c1cn(CCN3CCN(C(=O)c4cccs4)CC3)nc1-2,1
COc1ccc(CNS(=O)(=O)c2ccc(NC(=S)NC(=O)c3ccc(-c4ccccc4)cc3)cc2)cc1,1
