SMILES,SMILES_stand,Label
C1(N2CCN(CC2)CC3=CC=CC4=CC=CC=C34)=NC=CC=C1,c1ccc(N2CCN(Cc3cccc4ccccc34)CC2)nc1,0
OC1=CC(C(C(CC)NC2CCCC2)O)=CC=C1O,CCC(NC1CCCC1)C(O)c1ccc(O)c(O)c1,1
O[C@H](C1=CC(O)=CC(O)=C1)CN[C@@H](C)CC2=CC=C(C3=CC=CC=C32)OC,COc1ccc(CC(C)NCC(O)c2cc(O)cc(O)c2)c2ccccc12,0
OC1=CC(CCN(CC2CCC2)CCC3=CC=CC=C3)=CC=C1,Oc1cccc(CCN(CCc2ccccc2)CC2CCC2)c1,0
O=C(CC1)NC2=C1C=CC(OCC(CC3)CCC3CN4CCN(CC4)C5=C(Cl)C(Cl)=CC=C5)=C2,O=C1CCc2ccc(OCC3CCC(CN4CCN(c5cccc(Cl)c5Cl)CC4)CC3)cc2N1,1
ClC1=C(C=CC=C1N2CCN(CCCCOC3=CN=C4NC(CCC4=C3)=O)CC2)Cl,O=C1CCc2cc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cnc2N1,1
O=C(N[C@@H](CCCNC(N)=N)C(N[C@@H](C(C)C)C(N[C@@H](CC1=CC=C(C=C1)O)C(N[C@@H]([C@@H](C)CC)C(N[C@@H](CC2=CNC=N2)C(N3[C@@H](CCC3)C(N[C@@H](CC4=CC=CC=C4)C(O)=O)=O)=O)=O)=O)=O)=O)CNC,CCC(C)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(NC(=O)C(CCCNC(=N)N)NC(=O)CNC)C(C)C)C(=O)NC(Cc1c[nH]cn1)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O,1
O=C([C@H]1CN(C)[C@H]2[C@H](C1)C3=CC=CC4=C3C(C2)=CN4)N[C@](C(N5[C@H]6CC7=CC=CC=C7)=O)(C)O[C@@]5(O)[C@H](CCC8)N8C6=O,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,1
ClC1=CC(N2N=C(C)C=C2)=CC=C1C(N3C4=CC=CC=C4C(CCC3)O)=O,Cc1ccn(-c2ccc(C(=O)N3CCCC(O)c4ccccc43)c(Cl)c2)n1,0
ClC1=CC=C(CN=C(NC2CCCCC2)SCCCC3=CNC=N3)C=C1,Clc1ccc(CN=C(NC2CCCCC2)SCCCc2c[nH]cn2)cc1,1
O=C([C@H](C12)CC=CC2CCN(C3=CC=CC=C3)C1=O)NC4=CC=C(Br)C(C(F)(F)F)=C4,O=C(Nc1ccc(Br)c(C(F)(F)F)c1)C1CC=CC2CCN(c3ccccc3)C(=O)C21,0
ClC1=C(CCN(C)CC2C3=CC(C)=CC=C3)C2=CC(O)=C1O,Cc1cccc(C2CN(C)CCc3c2cc(O)c(O)c3Cl)c1,0
O=C([C@H]1[C@@](C2)(C)[C@@H]3[C@](CC1)(C)[C@@H](C[C@@H](C3=O)OC(C)=O)C(OC)=O)O[C@@H]2C4=COC=C4,COC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(c3ccoc3)CC12C,1
OC(C=C1)=CC=C1OC[C@H](CNCCNC(N2CC(C2)O)=O)O,O=C(NCCNCC(O)COc1ccc(O)cc1)N1CC(O)C1,0
OC1=CC=C(C[C@@H](C(N2[C@@H](CCC2)C(N[C@@H](CCCCN)C(O)=O)=O)=O)NC([C@H](CCCCN)NC([C@H](CCC/N=C(N)N)NC([C@H](CC(C)C)NC([C@H](CC3=CC=CC=C3)NC(CNC(CNC([C@H](CC4=CC=C(C=C4)O)N)=O)=O)=O)=O)=O)=O)=O)C=C1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCCN)C(=O)NC(Cc1ccc(O)cc1)C(=O)N1CCCC1C(=O)NC(CCCCN)C(=O)O,0
IC1=CC=C(NC2=C3N=CN([C@@H]4O[C@H](CO)[C@H]([C@H]4O)O)C3=NC=N2)C=C1,OCC1OC(n2cnc3c(Nc4ccc(I)cc4)ncnc32)C(O)C1O,0
O=C([C@H]1[C@@](C2)(C)[C@@H]3[C@](CC1)(C)[C@@H](C[C@@H](C3=O)OC(C4=CC=CC=C4)=O)C(OC)=O)O[C@@H]2C5=COC=C5,COC(=O)C1CC(OC(=O)c2ccccc2)C(=O)C2C1(C)CCC1C(=O)OC(c3ccoc3)CC12C,0
O=C(N[C@@H](CCCNC(N)=N)C(N[C@@H](C(C)C)C(N[C@@H](CC1=CC=C(C=C1)O)C(N[C@@H](C(C)C)C(N[C@@H](CC2=CNC=N2)C(N3[C@@H](CCC3)C(N[C@@H](C)C(O)=O)=O)=O)=O)=O)=O)=O)CNC,CNCC(=O)NC(CCCNC(=N)N)C(=O)NC(C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)NC(Cc1c[nH]cn1)C(=O)N1CCCC1C(=O)NC(C)C(=O)O)C(C)C)C(C)C,1
COC1=C(CCCC2CCCN3CCN(C4=NC=CC=C4)CC3)C2=CC=C1,COc1cccc2c1CCCC2CCCN1CCN(c2ccccn2)CC1,0
CC(NC1=CC=CC=C12)=C2CN(CC3)CCN3C4=NC=CC=C4,Cc1[nH]c2ccccc2c1CN1CCN(c2ccccn2)CC1,0
BrC1=CC=C(CSC2=NN=C(C3=NC=CC=C3)N2CC4=CC=CO4)C=C1,Brc1ccc(CSc2nnc(-c3ccccn3)n2Cc2ccco2)cc1,0
CC1=CC=C(C(CN2C(NC(C3=CC=CC=C3)(C2=O)C4=CC=CC=C4)=O)=O)S1,Cc1ccc(C(=O)CN2C(=O)NC(c3ccccc3)(c3ccccc3)C2=O)s1,0
ClC1=C(C=CC=C1N2CCN(CCCCOC3=CC=C4SC(C)=NC4=C3)CC2)Cl,Cc1nc2cc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)ccc2s1,0
ClC1=C(Cl)C=C(N(C(N2)=O)C3CCN(CC3)C(C)C4=C(F)C=C(Cl)C=C4)C2=C1,CC(c1ccc(Cl)cc1F)N1CCC(n2c(=O)[nH]c3cc(Cl)c(Cl)cc32)CC1,0
O=C1NC2=C(C=C1)C(C(CO)NC(C)C)=CC=C2O,CC(C)NC(CO)c1ccc(O)c2[nH]c(=O)ccc12,1
ClC1=CC=C2N=C(C(N3CCN(C)CC3)=O)NC2=C1,CN1CCN(C(=O)c2nc3ccc(Cl)cc3[nH]2)CC1,1
O=C([C@H]1CN(C)[C@H]2C(C3=C4C(NC=C4C2)=CC=C3)=C1)N[C@@H](CC)CO,CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,1
O=C([C@@H](CC1=CNC2=CC=CC=C21)NC(C(C)(C)N)=O)N[C@H](CC3=CNC4=CC=CC=C43)NC=O,CC(C)(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1c[nH]c2ccccc12)NC=O,0
